id_estadio,nombre,capacidad,id_club,id_provincia
1,15_de_Abril,20000,27,20
2,Alberto_J._Armando,45500,6,1
3,Alfredo_Terrera,25600,7,20
4,Bautista_Gargantini,30000,14,12
5,Ciudad_de_Lanus,34500,16,1
6,Ciudad_de_Vicente_Lopez,17400,18,1
7,Claudio_Tapia,12500,4,1
8,Diego_Armando_Maradona,22900,1,1
9,Eva_Peron,15000,24,1
10,Feliciano_Gambarte,27200,11,12
11,Florencio_Sola,19600,3,1
12,Gigante_de_Arroyito,38000,22,10
13,Guillermo_Laza,8000,20,1
14,Jorge_Luis_Hirschi,26000,9,1
15,Jose_Amalfitani,34000,28,1
16,Jose_Dellagiovanna,16500,26,1
17,Juan_Carmelo_Zerillo,26300,10,1
18,Juan_Domingo_Peron,24500,15,5
19,Julio_Cesar_Villagra,20400,5,5
20,Libertadores_de_America,40800,13,1
21,Marcelo_Bielsa,35200,17,20
22,Mario_Alberto_Kempes,39800,25,5
23,Monumental,85000,21,1
24,Monumental_Jose_Fierro,23300,2,23
25,Norberto_Tomaghello,15000,8,1
26,Pedro_Bidegain,32700,23,1
27,Presidente_Juan_Domingo_Peron,44000,19,1
28,Tomas_Adolfo_Duco,25000,12,1
