id_club_campeon,id_copa,edicion
2,1,2017
4,1,2022
6,1,1969
6,1,2012
6,1,2015
6,1,2020
6,1,2021
22,1,2018
24,1,2021
25,1,2020
3,2,1920
6,2,1919
6,2,1923
6,2,1924
6,2,2022
6,2,2023
9,2,1944
23,2,1943
23,2,2015
26,2,2019
28,2,2013
9,3,1968
13,3,1973
13,3,1984
19,3,1967
28,3,1994
1,4,1985
6,4,1977
6,4,1978
6,4,2000
19,4,1967
21,4,1986
21,4,1996
21,4,2015
21,4,2018
23,4,2014
28,4,1994
1,5,1984
1,5,1985
1,5,2010
3,5,2009
5,5,2023
6,5,1919
6,5,1920
6,5,1923
6,5,1924
6,5,1926
6,5,1930
6,5,1931
28,5,2009
28,5,2011
28,5,2012
6,6,1977
6,6,2000
6,6,2003
6,6,2005
6,6,2023
8,6,2021
6,7,2004
6,7,2005
8,7,2020
